# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,EC106,Sundays River Valley,40-49,female,3126,False
Eastern Cape,EC106,Sundays River Valley,50-59,male,2587,False
Eastern Cape,EC106,Sundays River Valley,50-59,female,2825,False
Eastern Cape,EC106,Sundays River Valley,60-69,male,1445,False
Eastern Cape,EC106,Sundays River Valley,60-69,female,1826,False
Eastern Cape,EC106,Sundays River Valley,70-79,male,553,False
Eastern Cape,EC106,Sundays River Valley,70-79,female,751,False
Eastern Cape,EC106,Sundays River Valley,80+,male,160,False
Eastern Cape,EC106,Sundays River Valley,80+,female,347,False
Eastern Cape,EC108,Kouga,18-19,male,655,True
Eastern Cape,EC108,Kouga,18-19,female,816,True
Eastern Cape,EC108,Kouga,20-29,male,4172,True
Eastern Cape,EC108,Kouga,20-29,female,5166,True
Eastern Cape,EC108,Kouga,30-39,male,6285,False
Eastern Cape,EC108,Kouga,30-39,female,7450,False
Eastern Cape,EC108,Kouga,40-49,male,6684,False
Eastern Cape,EC108,Kouga,40-49,female,7282,False
Eastern Cape,EC108,Kouga,50-59,male,5673,False
Eastern Cape,EC108,Kouga,50-59,female,6289,False
Eastern Cape,EC108,Kouga,60-69,male,4271,False
Eastern Cape,EC108,Kouga,60-69,female,5320,False
Eastern Cape,EC108,Kouga,70-79,male,2522,False
Eastern Cape,EC108,Kouga,70-79,female,3236,False
Eastern Cape,EC108,Kouga,80+,male,973,False
Eastern Cape,EC108,Kouga,80+,female,1599,False
Eastern Cape,EC109,Kou-Kamma,18-19,male,273,True
Eastern Cape,EC109,Kou-Kamma,18-19,female,330,True
Eastern Cape,EC109,Kou-Kamma,20-29,male,2172,True
Eastern Cape,EC109,Kou-Kamma,20-29,female,2318,True
Eastern Cape,EC109,Kou-Kamma,30-39,male,2737,False
Eastern Cape,EC109,Kou-Kamma,30-39,female,2830,False
Eastern Cape,EC109,Kou-Kamma,40-49,male,2502,False
Eastern Cape,EC109,Kou-Kamma,40-49,female,2613,False
Eastern Cape,EC109,Kou-Kamma,50-59,male,2040,False
Eastern Cape,EC109,Kou-Kamma,50-59,female,2126,False
Eastern Cape,EC109,Kou-Kamma,60-69,male,1200,False
Eastern Cape,EC109,Kou-Kamma,60-69,female,1359,False
Eastern Cape,EC109,Kou-Kamma,70-79,male,473,False
Eastern Cape,EC109,Kou-Kamma,70-79,female,615,False
Eastern Cape,EC109,Kou-Kamma,80+,male,138,False
Eastern Cape,EC109,Kou-Kamma,80+,female,232,False
Eastern Cape,EC121,Mbhashe,18-19,male,1485,True
Eastern Cape,EC121,Mbhashe,18-19,female,1728,True
Eastern Cape,EC121,Mbhashe,20-29,male,10205,True
Eastern Cape,EC121,Mbhashe,20-29,female,11575,True
Eastern Cape,EC121,Mbhashe,30-39,male,13640,False
