election_year,voting_district,municipality_code,municipality_source,province,registered_voters,municipality_code_2021,municipality_name_2021,province_2021,boundary_method
2000,54150016,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,1634,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54150027,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,3769,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54160017,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2721,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54160028,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,4220,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54170018,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,1228,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54180019,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,1942,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54190010,MP311,MP311 - Delmas [Delmas],Mpumalanga,2758,MP311,MP311 - Victor Khanye,Mpumalanga,vd_code_match
2000,54190021,MP311,MP311 - Delmas [Delmas],Mpumalanga,3170,MP311,MP311 - Victor Khanye,Mpumalanga,vd_code_match
2000,54190032,MP311,MP311 - Delmas [Delmas],Mpumalanga,1697,MP311,MP311 - Victor Khanye,Mpumalanga,vd_code_match
2000,54190043,MP311,MP311 - Delmas [Delmas],Mpumalanga,2194,MP311,MP311 - Victor Khanye,Mpumalanga,vd_code_match
2000,54190054,MP311,MP311 - Delmas [Delmas],Mpumalanga,3260,MP311,MP311 - Victor Khanye,Mpumalanga,vd_code_match
2000,54190065,MP311,MP311 - Delmas [Delmas],Mpumalanga,2352,MP311,MP311 - Victor Khanye,Mpumalanga,vd_code_match
2000,54190076,MP311,MP311 - Delmas [Delmas],Mpumalanga,2207,MP311,MP311 - Victor Khanye,Mpumalanga,vd_code_match
2000,54190087,MP311,MP311 - Delmas [Delmas],Mpumalanga,744,MP311,MP311 - Victor Khanye,Mpumalanga,vd_code_match
2000,54200012,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,849,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54200023,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,473,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54200034,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2206,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54200045,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,781,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210013,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1381,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210024,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1518,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
