voting_district,registered,valid,spoilt,npe_vd_turnout_pct,year
54320026,2231,1478,20,67.145,2004
54320037,2626,1836,33,71.173,2004
54320048,2903,2262,48,79.573,2004
54320059,2655,1915,45,73.823,2004
54320060,5781,4078,62,71.614,2004
54330016,2847,1836,18,65.121,2004
54330027,2704,1902,45,72.004,2004
54330038,2499,2484,47,101.281,2004
54330049,1540,1370,30,90.909,2004
54330050,2511,2172,65,89.088,2004
54330061,2956,2058,45,71.143,2004
54330072,3551,3048,50,87.243,2004
54330094,2224,1527,34,70.189,2004
54330106,2505,1903,38,77.485,2004
54330117,2884,2055,58,73.266,2004
54330128,2087,1570,30,76.665,2004
54330139,3759,2800,113,77.494,2004
54330140,1461,1275,31,89.391,2004
54340017,2152,1786,46,85.13,2004
54340028,3832,2594,98,70.251,2004
54340039,1868,1533,47,84.582,2004
54340040,2290,1764,32,78.428,2004
54340051,1721,1336,25,79.082,2004
54350018,765,603,10,80.131,2004
54350029,1228,928,13,76.629,2004
54350030,989,733,17,75.834,2004
54360019,1481,1111,47,78.19,2004
54360020,286,249,4,88.462,2004
54360031,907,566,14,63.947,2004
54360042,220,198,6,92.727,2004
54360053,484,421,11,89.256,2004
54360064,1150,958,13,84.435,2004
54360075,745,540,9,73.691,2004
54360086,1161,883,10,76.916,2004
54360097,1401,997,29,73.233,2004
54360109,287,271,6,96.516,2004
54360110,724,658,22,93.923,2004
54370021,112,72,4,67.857,2004
54370032,985,681,4,69.543,2004
54370054,286,219,3,77.622,2004
54370065,294,217,13,78.231,2004
54370076,287,206,6,73.868,2004
54370087,89,60,1,68.539,2004
54370098,166,114,0,68.675,2004
54380011,254,249,5,100.0,2004
54380022,286,212,8,76.923,2004
54380033,501,406,7,82.435,2004
54380044,412,294,0,71.359,2004
54380055,385,317,3,83.117,2004
54380066,201,107,0,53.234,2004
54380077,251,228,11,95.219,2004
54390012,109,122,2,113.761,2004
54390023,272,213,1,78.676,2004
54390034,497,350,13,73.038,2004
54390045,373,314,2,84.718,2004
54390056,208,178,1,86.058,2004
54400014,579,399,9,70.466,2004
54400036,431,714,20,170.302,2004
54400047,290,392,5,136.897,2004
54400058,352,258,10,76.136,2004
54400069,360,307,10,88.056,2004
54400070,899,666,16,75.862,2004
54400081,276,221,3,81.159,2004
54400092,579,483,14,85.838,2004
54410015,320,203,3,64.375,2004
54410026,2029,2002,30,100.148,2004
54410037,319,190,15,64.263,2004
54410048,245,105,1,43.265,2004
54410059,373,595,0,159.517,2004
54410060,219,98,1,45.205,2004
54410071,371,284,5,77.898,2004
54410082,1017,570,3,56.342,2004
54410093,1791,1332,1,74.428,2004
54410105,394,401,6,103.299,2004
54410116,507,450,7,90.138,2004
54410127,2048,1690,41,84.521,2004
54410138,478,434,8,92.469,2004
54410149,336,265,5,80.357,2004
54410150,1472,1160,16,79.891,2004
54410161,708,554,13,80.085,2004
54410172,972,856,9,88.992,2004
54410183,522,358,6,69.732,2004
54410194,2049,1709,19,84.334,2004
54410206,631,507,4,80.983,2004
54410217,599,573,12,97.663,2004
54410228,151,145,4,98.675,2004
54410239,227,256,3,114.097,2004
54420016,336,294,2,88.095,2004
54420038,428,296,7,70.794,2004
54420049,72,97,2,137.5,2004
54420050,378,185,2,49.471,2004
54420072,699,515,12,75.393,2004
54420083,335,400,2,120.0,2004
54420094,592,437,4,74.493,2004
54420106,2291,2077,28,91.881,2004
54430017,365,263,7,73.973,2004
54430028,1180,886,1,75.169,2004
54430039,983,602,11,62.36,2004
54430040,511,289,2,56.947,2004
54430051,2350,1778,24,76.681,2004
54440018,697,504,7,73.314,2004
54440029,269,235,3,88.476,2004
54440030,1799,1245,40,71.429,2004
54440041,1442,1094,33,78.155,2004
54440052,280,241,5,87.857,2004
54440063,849,614,18,74.441,2004
54440074,595,583,6,98.992,2004
54440085,1595,901,105,63.072,2004
54440096,1550,1115,20,73.226,2004
54440119,764,724,13,96.466,2004
54440120,1024,698,18,69.922,2004
54440131,1413,1284,21,92.357,2004
54440142,1986,1489,19,75.932,2004
54440153,1425,1100,18,78.456,2004
54440164,679,582,14,87.776,2004
54440175,703,541,5,77.667,2004
54440186,928,676,1,72.953,2004
54440197,1036,872,22,86.293,2004
54440209,933,1030,31,113.719,2004
54450019,1548,1214,32,80.491,2004
54450020,515,309,3,60.583,2004
54450031,485,348,6,72.99,2004
54450042,820,594,14,74.146,2004
54450053,480,360,5,76.042,2004
54450064,1407,1160,27,84.364,2004
54450075,1804,1208,17,67.905,2004
54450086,545,403,4,74.679,2004
54450097,799,770,0,96.37,2004
54450143,388,320,2,82.99,2004
54450154,419,299,0,71.36,2004
54450165,319,176,3,56.113,2004
54450176,373,225,8,62.466,2004
54450187,299,266,9,91.973,2004
54460010,311,268,5,87.781,2004
54460021,285,225,4,80.351,2004
54460032,252,195,2,78.175,2004
54460043,296,251,5,86.486,2004
54460076,158,103,5,68.354,2004
54460087,201,179,3,90.547,2004
54470011,366,168,3,46.721,2004
54470044,483,283,4,59.42,2004
54470055,273,72,3,27.473,2004
54470077,652,495,5,76.687,2004
54470088,2813,1900,70,70.032,2004
54470099,1500,1135,16,76.733,2004
54470112,3208,2209,60,70.729,2004
54470134,251,228,8,94.024,2004
54470145,136,136,3,102.206,2004
54490013,2165,1705,31,80.185,2004
54490024,2695,2102,21,78.776,2004
54490035,2446,1930,39,80.499,2004
54500015,1960,1675,22,86.582,2004
54530018,2805,2401,47,87.273,2004
54530029,3185,2157,18,68.289,2004
54530030,2834,1755,10,62.279,2004
54540019,1258,937,11,75.358,2004
54540020,3737,2361,44,64.356,2004
54540031,424,284,9,69.104,2004
54540042,1632,1250,25,78.125,2004
54540053,1291,857,18,67.777,2004
54540064,2456,2052,48,85.505,2004
54540075,3313,2191,0,66.133,2004
