test_year,model,vd_MAE_pp,vd_rank_rho,bottom20_found_pct,muni_MAE_pp,muni_bias_pp,muni_rank_rho,lowest5_found
2011,Same position as last election,8.18732366228635,0.46867172296938897,58.78594249201278,2.682039828048036,1.880177904855837,0.786764705882353,3
2011,Regression to the mean,6.1038158876312085,0.46867172296938897,58.78594249201278,1.5592054850819972,0.27880594747358173,0.786764705882353,3
2011,Ridge regression,5.902611987655359,0.695897654068903,49.840255591054316,1.9599270098510544,0.18830605039955733,0.7475490196078433,3
2011,Gradient boosting,5.905483925395755,0.7189658187871562,56.23003194888179,2.332333919450844,0.060581306188045816,0.6813725490196079,3
2011,Gradient boosting + municipal context,6.126994526253258,0.708338726280818,51.11821086261981,2.7866635193875946,-0.081778818572535,0.6372549019607844,3
2011,Ensemble,5.538460086353447,0.6978190720981483,59.105431309904155,1.6032673030965685,0.1696936268308138,0.7745098039215688,4
2016,Same position as last election,6.447658453518878,0.6149354961038047,65.32951289398281,2.850422398405192,2.4060960448779625,0.7279411764705883,4
2016,Regression to the mean,5.765804163966272,0.6149354961038047,65.32951289398281,1.8842124953941863,0.88789638658245,0.7279411764705883,4
2016,Ridge regression,5.079574765354622,0.746220543860285,63.32378223495702,1.309181071350396,0.3930256421536012,0.7573529411764707,4
2016,Gradient boosting,4.859530366054699,0.7649551566943246,66.189111747851,1.3225847289460686,0.22523359477884183,0.7745098039215688,4
2016,Gradient boosting + municipal context,5.097576756601746,0.760054297354544,65.9025787965616,1.5109825207113263,-0.8756152273489737,0.786764705882353,4
2016,Ensemble,5.006595418429356,0.7575418722328776,67.621776504298,1.4796350716871243,0.5565649906806459,0.752450980392157,4
2021,Same position as last election,6.311878913912362,0.5808750662214869,55.74229691876751,2.7465703044152114,-0.5564390796656478,0.34803921568627455,2
2021,Regression to the mean,5.613987691134971,0.5808750662214869,55.74229691876751,2.2420432199945917,-0.919822579261415,0.34803921568627455,2
2021,Ridge regression,5.303829045887925,0.6082025061722728,52.38095238095238,2.6480569161201273,-1.6799552121177073,0.41666666666666674,1
2021,Gradient boosting,5.411690330932919,0.5922187472007285,53.50140056022409,2.8004345116576546,-1.1555088312327149,0.3872549019607844,1
2021,Gradient boosting + municipal context,5.052026987120534,0.6341432519556891,56.30252100840336,2.57248305623529,-1.785751961848725,0.4754901960784314,1
2021,Ensemble,5.334964820268952,0.611987572756427,54.34173669467787,2.504944519437623,-1.0376657052470648,0.36274509803921573,1
