voting_district,municipality_code_2021,registered_voters,registered_2026_est,turnout_median,turnout_p10,turnout_p90,p_below_25_raw,p_below_25,non_voters_expected
54880162,MP324,1786.0,2093.1953,41.7925,32.154,51.8347,0.0176,0.0,1216.3406
54880173,MP324,613.0,718.4371,45.8586,31.0407,62.8219,0.0413,0.0014,384.7727
54880184,MP324,804.0,942.2895,42.6465,32.4188,53.2784,0.0184,0.0,539.0838
54880195,MP324,1551.0,1817.7749,42.6061,32.9473,52.569,0.0126,0.0,1041.6788
54880207,MP324,1163.0,1363.0382,45.8842,35.5311,56.7906,0.0083,0.0,735.0887
54880229,MP324,1756.0,2058.0353,43.7887,34.13,53.7124,0.0081,0.0,1154.1917
54880230,MP324,1555.0,1822.4629,41.4221,31.8915,51.1881,0.0141,0.0,1064.8152
54880241,MP324,1442.0,1690.0267,40.3901,30.9069,50.1794,0.0203,0.0014,1004.7948
54880252,MP324,820.0,961.0415,45.9074,35.6227,56.5656,0.0077,0.0,518.3922
54880263,MP324,565.0,662.1811,42.3845,27.8977,58.9091,0.0621,0.0033,377.9469
54880274,MP324,843.0,987.9976,46.6416,36.3564,57.3905,0.0076,0.0,525.4898
54880285,MP324,2355.0,2760.0644,42.0747,32.497,51.9878,0.0121,0.0,1596.0475
54880296,MP324,685.0,802.8213,33.1708,22.9665,43.8894,0.1509,0.057,534.8355
54880308,MP324,1936.0,2268.9956,35.9741,26.3111,45.8257,0.0735,0.0033,1450.2724
54880319,MP324,1220.0,1429.8423,39.4144,29.3566,50.0432,0.0382,0.0014,862.6635
54880342,MP324,2693.0,3156.201,40.0575,30.5283,49.9904,0.0215,0.0014,1885.7126
54880364,MP324,800.0,937.6015,44.8864,34.4993,55.6116,0.0092,0.0,514.8911
54880375,MP324,1057.0,1238.806,46.2398,36.1242,57.0406,0.008,0.0,663.0518
54880386,MP324,928.0,1087.6177,44.6392,34.3891,55.2878,0.0096,0.0,599.9542
54880397,MP324,1541.0,1806.0549,43.6119,34.1309,53.5955,0.0074,0.0,1015.1614
54880409,MP324,900.0,1054.8017,49.5402,39.3677,60.3468,0.0027,0.0,529.4916
54880410,MP324,1891.0,2216.2555,36.2707,26.6092,46.4514,0.066,0.0033,1406.3686
54880421,MP324,2137.0,2504.568,38.2421,28.6901,48.1121,0.0393,0.0014,1542.6355
54880432,MP324,772.0,904.7854,45.8354,35.8681,56.7522,0.0081,0.0,487.6169
54880443,MP324,756.0,886.0334,41.4922,31.1954,52.2504,0.0235,0.0014,516.7116
54880454,MP324,963.0,1128.6378,46.3887,36.0892,57.2184,0.0082,0.0,603.5377
54880465,MP324,946.0,1108.7138,43.5141,33.2392,54.0725,0.0142,0.0,624.626
54880476,MP324,580.0,679.7611,38.8185,24.3723,55.9113,0.1105,0.057,410.4173
54880487,MP324,1390.0,1629.0826,40.5803,30.932,50.3523,0.0218,0.0014,967.4335
54880498,MP324,923.0,1081.7577,39.6465,29.4367,50.3966,0.0375,0.0014,651.3031
54880500,MP324,669.0,784.0693,41.6813,31.4602,52.5953,0.0236,0.0014,455.8921
54880511,MP324,788.0,923.5375,41.3654,30.9535,52.0845,0.0232,0.0014,539.8483
54880522,MP324,524.0,614.129,45.5111,31.0196,62.8207,0.0392,0.0014,330.0574
54880533,MP324,785.0,920.0215,43.9094,33.6387,54.7788,0.0126,0.0,513.9955
54880544,MP324,999.0,1170.8299,39.3931,28.8997,50.2802,0.0417,0.0014,708.3007
54880555,MP324,666.0,780.5532,41.7062,31.2784,52.5515,0.0222,0.0014,453.3356
54880566,MP324,588.0,689.1371,45.7868,31.1997,62.3161,0.0384,0.0014,369.1292
54880577,MP324,800.0,937.6015,48.3302,37.9241,58.9122,0.0047,0.0,483.1941
54880588,MP324,551.0,645.773,45.4464,31.2141,62.376,0.0376,0.0014,347.6286
54880599,MP324,655.0,767.6612,44.4643,34.109,55.484,0.0127,0.0,425.1255
54880601,MP324,621.0,727.8132,48.1729,33.5604,64.884,0.0253,0.0014,372.6753
54880612,MP324,644.0,754.7692,46.4371,36.1951,57.0111,0.0062,0.0,403.072
54880623,MP324,427.0,500.4448,47.5372,33.0852,64.8477,0.0312,0.0014,259.527
54880634,MP324,570.0,668.0411,40.4955,25.988,57.8537,0.0856,0.0033,392.9723
54880645,MP324,552.0,646.945,41.1033,26.8222,57.7784,0.0756,0.0033,376.9009
54880656,MP324,756.0,886.0334,39.325,28.9916,50.0321,0.0412,0.0014,536.4198
54880667,MP324,556.0,651.633,43.6099,29.1576,60.0354,0.0525,0.0014,363.4638
54880678,MP324,475.0,556.7009,48.1602,33.7165,65.0736,0.0268,0.0014,284.841
54880689,MP324,437.0,512.1648,37.8671,23.4258,55.2329,0.1259,0.057,314.2874
54880690,MP324,466.0,546.1529,48.9078,34.1626,66.0485,0.0264,0.0014,275.4168
54880702,MP324,96.0,112.5122,55.5239,41.5501,72.7791,0.0071,0.0,49.0445
54890017,MP324,1225.0,1435.7023,40.7557,30.2366,51.6117,0.0282,0.0014,849.0634
54890039,MP324,91.0,106.6522,34.1901,19.8435,50.7124,0.2052,0.2381,69.557
54890040,MP324,492.0,576.6249,42.1661,27.7648,58.8392,0.0677,0.0033,329.8647
54890051,MP324,779.0,912.9895,41.4902,31.3745,52.2884,0.0211,0.0014,531.8176
54890073,MP324,314.0,368.0086,33.6341,18.9711,50.8498,0.2233,0.2581,241.6515
54890084,MP324,756.0,886.0334,41.404,31.0041,52.2521,0.0243,0.0014,517.9678
54890095,MP326,1072.0,1222.2376,40.7445,30.4338,51.3865,0.0304,0.0014,722.3492
54890118,MP324,855.0,1002.0616,40.3665,29.6698,51.057,0.0336,0.0014,597.2776
54890130,MP324,760.0,890.7214,41.5615,31.3818,52.4448,0.023,0.0014,518.7861
54890141,MP324,1100.0,1289.2021,42.3872,32.2099,53.2213,0.0192,0.0014,740.7338
54890152,MP324,1103.0,1292.7181,39.007,28.7527,49.7753,0.0417,0.0014,785.9468
54890163,MP324,1611.0,1888.095,36.9799,27.5596,46.9932,0.0532,0.0014,1185.331
54890174,MP324,1205.0,1412.2623,44.7215,34.5499,55.3944,0.0115,0.0,778.5154
54890185,MP324,658.0,771.1772,42.6461,32.3825,53.244,0.0186,0.0,441.7844
54890196,MP324,1205.0,1412.2623,40.3692,30.0458,50.8824,0.03,0.0014,840.7675
54890208,MP324,1830.0,2144.7634,41.7044,32.029,51.6051,0.0149,0.0,1247.2928
54890219,MP324,1197.0,1402.8862,36.8515,26.6496,47.3423,0.0692,0.0033,884.4433
54890220,MP324,1718.0,2013.4992,36.8803,27.361,46.8921,0.0592,0.0014,1267.2997
54890231,MP324,742.0,869.6254,36.3019,26.0846,46.9754,0.0809,0.0033,551.9856
54890242,MP324,1248.0,1462.6583,44.4218,34.2333,55.2038,0.0119,0.0,809.7504
54890253,MP324,1155.0,1353.6622,42.4108,32.1255,52.8365,0.0208,0.0014,779.391
54890264,MP324,1542.0,1807.2269,42.8951,33.3096,52.9308,0.0112,0.0,1028.7658
54890275,MP324,1354.0,1586.8905,45.6938,36.133,55.6095,0.0053,0.0,858.7889
54890286,MP324,478.0,560.2169,40.6794,26.3679,57.7904,0.0819,0.0033,328.3585
54890297,MP324,582.0,682.1051,44.9734,30.4999,61.8096,0.0436,0.0014,370.8893
54890309,MP324,1199.0,1405.2302,40.8119,30.653,51.7632,0.0292,0.0014,829.2052
54890310,MP324,1665.0,1951.3831,44.2658,34.751,54.1569,0.0076,0.0,1084.3784
54890321,MP324,1114.0,1305.6101,47.3264,36.9907,58.1746,0.0062,0.0,685.8681
54890332,MP324,1874.0,2196.3315,37.1508,27.7043,47.0601,0.0518,0.0014,1376.7177
54890343,MP324,289.0,338.7085,40.2242,25.9735,57.6267,0.0857,0.0033,199.618
54890354,MP324,435.0,509.8208,42.8643,28.4983,59.77,0.058,0.0014,288.1824
54890365,MP324,729.0,854.3894,43.0742,32.6183,54.0428,0.0162,0.0,485.3129
54890376,MP324,1338.0,1568.1385,44.2318,34.7672,54.0242,0.0075,0.0,872.3301
54890387,MP324,1519.0,1780.2708,43.3874,33.8539,53.2983,0.0115,0.0,1004.7119
54890398,MP324,1424.0,1668.9307,38.6353,29.1273,48.6285,0.0319,0.0014,1020.5689
54890400,MP324,1579.0,1850.591,41.5682,32.1753,51.6158,0.0144,0.0,1077.5052
54890411,MP324,1661.0,1946.6951,42.8894,33.3513,52.6965,0.01,0.0,1108.4741
54890422,MP324,822.0,963.3855,44.5656,34.3384,55.39,0.0123,0.0,532.4136
54890433,MP324,1340.0,1570.4825,40.7668,31.223,50.7062,0.0186,0.0,926.1113
54890444,MP324,851.0,997.3736,46.6074,36.4875,57.664,0.008,0.0,529.8495
54890455,MP324,1739.0,2038.1113,42.7013,33.0756,52.7849,0.0118,0.0,1164.0701
54890466,MP324,868.0,1017.2976,44.0198,33.8678,54.5203,0.0129,0.0,567.7322
54890477,MP324,1349.0,1581.0305,47.4247,37.7546,57.3651,0.0033,0.0,829.2204
54890499,MP324,827.0,969.2456,41.4852,31.191,52.1085,0.0229,0.0014,566.2962
54890501,MP324,798.0,935.2575,36.7485,26.4339,47.5447,0.0734,0.0033,589.6413
54890512,MP324,1279.0,1498.9904,36.7269,26.4283,47.3108,0.0734,0.0033,946.3389
54890523,MP324,988.0,1157.9379,37.3768,27.0503,47.949,0.0633,0.0033,724.283
54890534,MP324,1623.0,1902.159,38.2156,28.7092,48.0814,0.0434,0.0014,1173.2559
54890556,MP324,857.0,1004.4056,44.1481,34.0723,55.2003,0.0138,0.0,557.7989
54890567,MP324,1433.0,1679.4787,38.0001,28.4834,47.9151,0.0401,0.0014,1038.3425
54890578,MP324,924.0,1082.9297,36.7649,26.4989,47.5795,0.0721,0.0033,683.1473
54890589,MP324,877.0,1027.8456,39.8755,29.6819,50.6891,0.0341,0.0014,615.8965
54890590,MP324,1230.0,1441.5623,40.3607,30.2183,51.0284,0.0307,0.0014,857.5318
54890602,MP324,467.0,547.3249,31.6434,17.3542,48.6996,0.2717,0.3333,369.2658
54890613,MP324,892.0,1045.4257,40.5381,30.5217,51.4539,0.0309,0.0014,618.8074
54890624,MP324,1439.0,1686.5107,37.8017,28.1585,47.7413,0.0449,0.0014,1046.364
54890635,MP324,1496.0,1753.3148,40.8205,31.4069,50.7755,0.0185,0.0,1033.5065
54890646,MP324,1076.0,1261.074,40.278,30.096,50.9255,0.0307,0.0014,750.4168
54890657,MP324,1895.0,2220.9436,35.8266,26.3373,45.7925,0.0729,0.0033,1420.6657
54890668,MP324,789.0,924.7095,38.0775,27.8118,49.0928,0.0518,0.0014,570.2941
54890679,MP324,1525.0,1787.3029,47.4535,37.8216,57.377,0.0038,0.0,936.3082
54890680,MP324,1006.0,1179.0339,34.3123,24.2511,45.0484,0.1194,0.057,772.0022
54890691,MP324,1078.0,1263.418,44.3189,34.1277,55.1236,0.011,0.0,700.3119
54890703,MP324,182.0,213.3043,44.7897,30.4453,61.4457,0.0455,0.0014,116.338
54890725,MP324,139.0,162.9083,32.614,18.0476,49.6877,0.2505,0.2581,108.623
54890736,MP324,503.0,589.5169,52.5993,38.2349,69.9346,0.0142,0.0,275.4884
54890747,MP324,1219.0,1428.6703,36.8571,26.6759,47.5777,0.0682,0.0033,899.1695
54890758,MP324,909.0,1065.3497,44.6482,34.4178,55.2914,0.0101,0.0,588.1876
54890769,MP324,613.0,718.4371,42.5919,28.1857,59.5761,0.0602,0.0033,407.0866
54890770,MP324,855.0,1002.0616,45.9619,35.4295,56.4539,0.01,0.0,541.0327
54890781,MP324,1486.0,1741.5948,42.813,33.1342,52.5022,0.0095,0.0,993.5886
54890792,MP324,1734.0,2032.2513,35.9724,26.5189,45.9478,0.0674,0.0033,1297.1069
54890804,MP324,831.0,973.9336,46.0526,35.9678,56.815,0.0086,0.0,523.9501
54890815,MP324,1363.0,1597.4386,41.0237,31.4253,50.97,0.0189,0.0008,939.478
54890826,MP324,1516.0,1776.7548,37.5605,28.0881,47.55,0.047,0.0014,1106.1279
54890837,MP324,1049.0,1229.43,41.0479,30.7852,51.69,0.0253,0.0014,722.8698
54890848,MP324,234.0,274.2484,32.057,18.0166,49.1176,0.2567,0.2581,183.7974
54890859,MP324,1065.0,1248.182,44.4079,34.0992,55.2324,0.0154,0.0,692.6395
54890860,MP324,589.0,690.3091,49.2721,34.849,66.2144,0.0205,0.0014,345.6472
54890871,MP324,398.0,466.4567,50.0801,35.5294,67.4478,0.0184,0.0,229.5055
54890882,MP324,1084.0,1270.45,39.9567,29.7574,50.5717,0.0347,0.0014,761.0989
54890893,MP324,823.0,964.5575,44.884,34.4652,55.7662,0.0124,0.0,530.2733
54890905,MP324,388.0,454.7367,39.2882,25.066,56.2747,0.099,0.0274,272.9342
54890916,MP324,305.0,357.4606,45.3318,31.2755,62.403,0.0369,0.0014,192.7361
54890927,MP324,688.0,806.3373,46.4469,36.2957,57.1697,0.009,0.0,430.2825
54890938,MP324,378.0,443.0167,46.4861,32.2936,63.2627,0.0325,0.0014,233.8322
54890949,MP324,364.0,426.6087,46.7016,32.319,63.6535,0.035,0.0014,224.5845
54890950,MP324,343.0,401.9966,43.1271,28.6073,60.0051,0.0574,0.0014,225.8817
54890961,MP324,461.0,540.2929,39.8158,25.393,56.6195,0.0942,0.0274,321.7314
54890972,MP324,790.0,925.8815,44.3844,34.1505,55.0247,0.0106,0.0,513.6496
54890983,MP324,392.0,459.4247,41.2728,27.1313,58.1962,0.0741,0.0033,266.6394
54890994,MP324,451.0,528.5728,41.5333,27.0348,58.4688,0.0752,0.0033,305.6302
54891007,MP324,265.0,310.5805,52.2195,38.0869,69.1584,0.0139,0.0,146.0383
54891018,MP324,144.0,168.7683,46.7569,32.3612,63.7737,0.0335,0.0014,88.643
54891029,MP324,147.0,172.2843,41.9934,27.9387,59.1956,0.0619,0.0033,98.5231
54891030,MP324,235.0,275.4204,49.1239,34.4221,66.0974,0.0234,0.0014,138.4332
54891041,MP324,385.0,451.2207,47.3847,32.8515,64.6702,0.0292,0.0014,234.0814
54891052,MP324,150.0,175.8003,49.3805,35.0483,66.1167,0.0217,0.0014,87.852
54891063,MP324,409.0,479.3488,51.2974,36.7007,67.9886,0.0164,0.0,231.1485
54891074,MP324,285.0,334.0205,47.6644,33.1213,64.5713,0.0282,0.0014,172.604
