voting_district,municipality_code_2021,municipality_name_2021,registered_voters,turnout_forecast
54540503,MP315,MP315 - Thembisile Hani,319.0,49.166
54540514,MP315,MP315 - Thembisile Hani,1126.0,47.78
54540536,MP315,MP315 - Thembisile Hani,560.0,45.714
54540547,MP315,MP315 - Thembisile Hani,776.0,48.631
54540558,MP315,MP315 - Thembisile Hani,1032.0,49.371
54540569,MP315,MP315 - Thembisile Hani,1212.0,51.097
54540570,MP315,MP315 - Thembisile Hani,986.0,49.526
54540581,MP315,MP315 - Thembisile Hani,860.0,42.226
54540592,MP315,MP315 - Thembisile Hani,868.0,47.305
54540615,MP315,MP315 - Thembisile Hani,628.0,50.714
54540626,MP315,MP315 - Thembisile Hani,476.0,48.419
54540637,MP315,MP315 - Thembisile Hani,529.0,47.467
54540648,MP315,MP315 - Thembisile Hani,1038.0,48.648
54540659,MP315,MP315 - Thembisile Hani,665.0,48.416
54540660,MP315,MP315 - Thembisile Hani,803.0,46.063
54540671,MP315,MP315 - Thembisile Hani,1011.0,48.145
54540682,MP315,MP315 - Thembisile Hani,643.0,42.52
54540693,MP315,MP315 - Thembisile Hani,864.0,47.119
54540705,MP315,MP315 - Thembisile Hani,1748.0,47.554
54540716,MP315,MP315 - Thembisile Hani,1409.0,46.781
54540727,MP315,MP315 - Thembisile Hani,731.0,46.458
54540738,MP315,MP315 - Thembisile Hani,652.0,50.405
54540749,MP315,MP315 - Thembisile Hani,1010.0,51.824
54540750,MP315,MP315 - Thembisile Hani,843.0,47.813
54540761,MP315,MP315 - Thembisile Hani,1131.0,45.374
54540772,MP315,MP315 - Thembisile Hani,1173.0,47.856
54540783,MP315,MP315 - Thembisile Hani,1025.0,51.811
54540794,MP315,MP315 - Thembisile Hani,924.0,47.834
54540806,MP315,MP315 - Thembisile Hani,1976.0,46.615
54540817,MP315,MP315 - Thembisile Hani,986.0,45.767
54540828,MP315,MP315 - Thembisile Hani,226.0,43.799
54540839,MP315,MP315 - Thembisile Hani,944.0,49.1
54540840,MP315,MP315 - Thembisile Hani,720.0,48.023
54540862,MP315,MP315 - Thembisile Hani,633.0,47.136
54540873,MP315,MP315 - Thembisile Hani,140.0,34.118
54540884,MP315,MP315 - Thembisile Hani,1207.0,47.54
54540895,MP315,MP315 - Thembisile Hani,691.0,46.752
54540907,MP315,MP315 - Thembisile Hani,1026.0,47.549
54540918,MP315,MP315 - Thembisile Hani,826.0,46.465
54540929,MP315,MP315 - Thembisile Hani,483.0,51.277
54540930,MP315,MP315 - Thembisile Hani,664.0,52.621
54540941,MP315,MP315 - Thembisile Hani,413.0,51.412
54540952,MP315,MP315 - Thembisile Hani,619.0,52.078
54540963,MP315,MP315 - Thembisile Hani,382.0,47.352
54540974,MP315,MP315 - Thembisile Hani,366.0,55.903
