voting_district,municipality_code_2021,municipality_name_2021,registered_voters,turnout_forecast
54260388,MP307,MP307 - Govan Mbeki,1288.0,63.33
54260399,MP307,MP307 - Govan Mbeki,2365.0,45.899
54260401,MP307,MP307 - Govan Mbeki,1145.0,44.681
54260412,MP307,MP307 - Govan Mbeki,1577.0,44.512
54260423,MP307,MP307 - Govan Mbeki,597.0,50.773
54260434,MP307,MP307 - Govan Mbeki,2136.0,51.395
54260445,MP307,MP307 - Govan Mbeki,2957.0,53.99
54260456,MP307,MP307 - Govan Mbeki,1160.0,42.591
54260467,MP307,MP307 - Govan Mbeki,1273.0,46.512
54260478,MP307,MP307 - Govan Mbeki,834.0,58.536
54260490,MP307,MP307 - Govan Mbeki,626.0,46.701
54260502,MP307,MP307 - Govan Mbeki,319.0,57.189
54260513,MP307,MP307 - Govan Mbeki,1545.0,39.754
54260524,MP307,MP307 - Govan Mbeki,634.0,46.544
54260535,MP307,MP307 - Govan Mbeki,1465.0,45.141
54260546,MP307,MP307 - Govan Mbeki,162.0,61.319
54260557,MP307,MP307 - Govan Mbeki,130.0,53.946
54270019,MP312,MP312 - Emalahleni,2953.0,37.665
54270020,MP312,MP312 - Emalahleni,2042.0,44.187
54270031,MP312,MP312 - Emalahleni,2677.0,39.737
54270042,MP312,MP312 - Emalahleni,1257.0,43.988
54270053,MP312,MP312 - Emalahleni,2111.0,46.437
54270064,MP312,MP312 - Emalahleni,599.0,50.005
54270075,MP312,MP312 - Emalahleni,642.0,49.733
54270086,MP312,MP312 - Emalahleni,112.0,47.442
54280010,MP307,MP307 - Govan Mbeki,1490.0,47.267
54280021,MP307,MP307 - Govan Mbeki,2112.0,47.401
54280032,MP307,MP307 - Govan Mbeki,2152.0,47.448
54280043,MP307,MP307 - Govan Mbeki,1479.0,41.742
54280065,MP307,MP307 - Govan Mbeki,978.0,47.588
54280076,MP307,MP307 - Govan Mbeki,2520.0,44.722
54280087,MP307,MP307 - Govan Mbeki,673.0,47.04
54280098,MP307,MP307 - Govan Mbeki,526.0,50.414
54280100,MP307,MP307 - Govan Mbeki,963.0,48.67
54280111,MP307,MP307 - Govan Mbeki,492.0,50.728
54280122,MP307,MP307 - Govan Mbeki,175.0,54.695
54290011,MP302,MP302 - Msukaligwa,1446.0,46.224
54290022,MP302,MP302 - Msukaligwa,2264.0,48.097
54300013,MP305,MP305 - Lekwa,2311.0,49.221
54300024,MP305,MP305 - Lekwa,1347.0,56.569
54310014,MP304,MP304 - Dr Pixley Ka Isaka Seme,2083.0,50.665
54310025,MP304,MP304 - Dr Pixley Ka Isaka Seme,699.0,51.595
54320015,MP303,MP303 - Mkhondo,1901.0,57.361
54320026,MP303,MP303 - Mkhondo,2103.0,47.567
54320037,MP303,MP303 - Mkhondo,1163.0,47.725
54320048,MP303,MP303 - Mkhondo,1673.0,48.746
54320059,MP303,MP303 - Mkhondo,1093.0,47.679
54320060,MP303,MP303 - Mkhondo,3010.0,40.887
54320071,MP303,MP303 - Mkhondo,2355.0,49.508
54320082,MP303,MP303 - Mkhondo,1674.0,47.603
54320093,MP303,MP303 - Mkhondo,1014.0,50.024
54320105,MP303,MP303 - Mkhondo,1858.0,50.266
54320116,MP303,MP303 - Mkhondo,633.0,50.453
54320127,MP303,MP303 - Mkhondo,1438.0,51.995
54320138,MP303,MP303 - Mkhondo,1945.0,39.888
54320149,MP303,MP303 - Mkhondo,866.0,50.022
54320150,MP303,MP303 - Mkhondo,1512.0,53.175
54320161,MP303,MP303 - Mkhondo,953.0,50.788
54320172,MP303,MP303 - Mkhondo,869.0,51.413
54330016,MP305,MP305 - Lekwa,2512.0,47.814
54330027,MP305,MP305 - Lekwa,1093.0,44.794
54330038,MP305,MP305 - Lekwa,2796.0,49.636
54330049,MP305,MP305 - Lekwa,1965.0,59.271
54330050,MP305,MP305 - Lekwa,1096.0,46.529
54330061,MP305,MP305 - Lekwa,1791.0,47.806
54330072,MP305,MP305 - Lekwa,2658.0,46.463
54330094,MP305,MP305 - Lekwa,1338.0,47.979
54330106,MP305,MP305 - Lekwa,1658.0,47.328
54330117,MP305,MP305 - Lekwa,2006.0,48.79
54330128,MP305,MP305 - Lekwa,1247.0,52.995
54330139,MP305,MP305 - Lekwa,2005.0,45.95
54330140,MP305,MP305 - Lekwa,757.0,47.715
54330151,MP305,MP305 - Lekwa,2740.0,45.063
54330162,MP305,MP305 - Lekwa,1710.0,51.035
54330173,MP305,MP305 - Lekwa,737.0,50.622
