test_year,method,predicted,actual,error_pp
2011,Same as last election,46.596116137688796,55.91241156276316,-9.316295425074365
2011,Provincial-election ratio,46.022895118702195,55.91241156276316,-9.889516444060966
2016,Same as last election,55.91241156276316,56.411836916741,-0.49942535397784127
2016,Provincial-election ratio,47.80920372470561,56.411836916741,-8.602633192035391
2021,Same as last election,56.411836916741,42.83095540999464,13.580881506746366
2021,Provincial-election ratio,43.99422006827975,42.83095540999464,1.1632646582851152
