year,event,code,name,town,cur,pop,reg,votes,note,src
2014,2014 PROVINCIAL ELECTION,MP303,Mkhondo,Piet Retief,Mkhondo,69135,69135,51243,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP304,Pixley Ka Seme,Volksrust,Dr Pixley Ka Isaka Seme,37049,37049,27140,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP305,Lekwa,Standerton,Lekwa,52529,52529,39477,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP306,Dipaleseng,Balfour,Dipaleseng,20917,20917,15314,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP307,Govan Mbeki,Highveld Ridge,Govan Mbeki,141828,141828,104872,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP311,Delmas,Delmas,Victor Khanye,32028,32028,24143,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP312,Emalahleni,Witbank,Emalahleni,185006,185006,138640,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP313,Steve Tshwete,Middelburg,Steve Tshwete,107877,107877,81189,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP314,Emakhazeni,Belfast,Emakhazeni,26529,26529,19717,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP315,Thembisile,KwaMhlanga,Thembisile Hani,150477,150477,106330,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP316,Dr JS Moroka,Mdutjana,Dr JS Moroka,125671,125671,81003,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP321,Thaba Chweu,Sabie,Thaba Chweu,49943,49943,34536,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP322,Mbombela,Nelspruit,City of Mbombela (MP326),274582,274582,213791,Merged into MP326 City of Mbombela in 2016,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP323,Umjindi,Barberton,City of Mbombela (MP326),31893,31893,24524,Merged into MP326 City of Mbombela in 2016,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP324,Nkomazi,Nkomazi,Nkomazi,159530,159530,122052,,MP_3.xls
2014,2014 PROVINCIAL ELECTION,MP325,Bushbuckridge,Bushbuckridge,Bushbuckridge,236650,236650,149810,,MP_3.xls
2024,2024 PROVINCIAL ELECTION,MP301,Chief Albert Luthuli,,Chief Albert Luthuli,98284,98284,57537,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP302,Msukaligwa,,Msukaligwa,73279,73279,44722,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP303,Mkhondo,,Mkhondo,75890,75890,45446,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP304,Dr Pixley Ka Isaka Seme,,Dr Pixley Ka Isaka Seme,40060,40060,24223,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP305,Lekwa,,Lekwa,53036,53036,31341,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP306,Dipaleseng,,Dipaleseng,21965,21965,12850,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP307,Govan Mbeki,,Govan Mbeki,148113,148113,87137,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP311,Victor Khanye,,Victor Khanye,36844,36844,21115,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP312,Emalahleni,,Emalahleni,203797,203797,117674,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP313,Steve Tshwete,,Steve Tshwete,115837,115837,66963,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP314,Emakhazeni,,Emakhazeni,27165,27165,15921,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP315,Thembisile Hani,,Thembisile Hani,161051,161051,90680,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP316,Dr JS Moroka,,Dr JS Moroka,128129,128129,65257,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP321,Thaba Chweu,,Thaba Chweu,53599,53599,27561,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP324,Nkomazi,,Nkomazi,183039,183039,109941,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP325,Bushbuckridge,,Bushbuckridge,265840,265840,137296,,MP_5.xls
2024,2024 PROVINCIAL ELECTION,MP326,City of Mbombela,,City of Mbombela,339142,339142,200147,,MP_5.xls
